Mode,PointName,Distance,Cutoff_A,Cutoff_B,Cutoff_C,Elevation,Lat,Lng,AidMenu
100k,飛騨高山ビッグアリーナ(START),0.0,04:30,04:50,--:--,570,36.1554,137.2403,スタート
100k,江名子(第1給水),2.5,--:--,--:--,--:--,565,36.1415,137.2625,給水
100k,古い町並(第2給水),3.5,--:--,--:--,--:--,573,36.1408,137.2601,給水
100k,山口(第3給水),5.5,--:--,--:--,--:--,580,36.1364,137.2795,給水
100k,山口公民館(第4エイド),8.3,--:--,--:--,--:--,630,36.1205,137.2910,給水・パン・バナナ
100k,美女高原(第5エイド),12.3,--:--,--:--,--:--,790,36.1042,137.3061,給水・バナナ・漬物
100k,水無(第6給水),15.6,--:--,--:--,--:--,780,36.0820,137.3210,給水
100k,火止坂(第7給水),19.2,--:--,--:--,--:--,700,36.0711,137.3512,給水
100k,無数河(第8エイド),22.7,--:--,--:--,--:--,660,36.0688,137.3685,給水・塩飴
100k,道の駅 ひだ朝日村(第1関門/第9エイド),26.6,08:30,08:50,--:--,650,36.0792,137.3820,給水・よもぎうどん
100k,浅井(第10給水),30.0,--:--,--:--,--:--,680,36.0910,137.4015,給水
100k,青屋(第11エイド),32.1,--:--,--:--,--:--,720,36.1025,137.4110,給水・バナナ・ミニトマト
100k,小谷(第12給水),36.2,--:--,--:--,--:--,860,36.1211,137.4230,給水
100k,カクレハ(第13エイド),38.7,--:--,--:--,--:--,940,36.1322,137.4285,給水・バナナ・梅干し
100k,秋神(第14給水),42.0,--:--,--:--,--:--,800,36.1420,137.4190,給水
100k,岩滝公民館(第2関門/第15エイド),45.5,11:20,11:40,--:--,700,36.1385,137.4042,給水・おにぎり・味噌汁
100k,塩屋(第16給水),48.2,--:--,--:--,--:--,680,36.1450,137.3890,給水
100k,三日町(第17エイド),51.3,--:--,--:--,--:--,640,36.1555,137.3710,給水・パン・オレンジ
100k,町方(第18給水),54.5,--:--,--:--,--:--,610,36.1680,137.3610,給水
100k,丹生川支所(第3関門/第19エイド),57.2,12:30,12:50,--:--,595,36.1706,137.3488,給水・そば・そうめん
100k,千光寺(第20エイド),61.9,--:--,--:--,--:--,750,36.1953,137.3323,給水・五平餅（名物激坂）
100k,下本郷(第21給水),65.4,--:--,--:--,--:--,580,36.2110,137.3190,給水
100k,国府交流センター(第22エイド),68.7,--:--,--:--,--:--,570,36.2230,137.2940,給水・バナナ
100k,広瀬(第23給水),71.3,--:--,--:--,--:--,565,36.2215,137.2720,給水
100k,国府B&G海洋センター(第4関門/第24エイド),74.1,14:50,15:10,--:--,560,36.2162,137.2483,給水・カレーライス
100k,西門前(第25給水),78.4,--:--,--:--,--:--,560,36.1910,137.2340,給水
100k,新宮(第26エイド),82.1,--:--,--:--,--:--,570,36.1650,137.2110,給水・パン・冷やしきゅうり
100k,下原(第27給水),85.4,--:--,--:--,--:--,580,36.1490,137.1980,給水
100k,清見B&G(第28エイド),89.3,--:--,--:--,--:--,610,36.1320,137.1850,給水・うどん
100k,公文書館(第5関門/第29エイド),93.3,17:30,17:50,--:--,640,36.1365,137.2140,給水・バナナ
100k,山田(第30給水),96.5,--:--,--:--,--:--,600,36.1480,137.2290,給水
100k,飛騨高山ビッグアリーナ(GOAL),100.0,18:30,18:50,--:--,570,36.1554,137.2403,ゴール
71k,飛騨高山ビッグアリーナ(START),0.0,--:--,--:--,05:20,570,36.1554,137.2403,スタート
71k,江名子(第1給水),2.5,--:--,--:--,05:45,565,36.1415,137.2625,給水
71k,古い町並(第2給水),3.5,--:--,--:--,05:55,573,36.1408,137.2601,給水
71k,山口(第3給水),5.5,--:--,--:--,06:15,580,36.1364,137.2795,給水
71k,山口公民館(第4エイド),8.3,--:--,--:--,06:45,630,36.1205,137.2910,給水・パン・バナナ
71k,美女高原(第5エイド),12.3,--:--,--:--,07:30,790,36.1042,137.3061,給水・バナナ・漬物
71k,水無(第6給水),15.6,--:--,--:--,08:05,780,36.0820,137.3210,給水
71k,火止坂(第7給水),19.2,--:--,--:--,08:45,700,36.0711,137.3512,給水
71k,無数河(第8エイド),22.7,--:--,--:--,09:15,660,36.0688,137.3685,給水・塩飴
71k,道の駅 ひだ朝日村(第1関門/第9エイド),26.6,--:--,--:--,09:30,650,36.0792,137.3820,給水・よもぎうどん
71k,浅井(第10給水),30.0,--:--,--:--,10:10,680,36.0910,137.4015,給水
71k,青屋(第11エイド),32.1,--:--,--:--,10:40,720,36.1025,137.4110,給水・バナナ・ミニトマト
71k,小谷(第12給水),36.2,--:--,--:--,11:30,860,36.1211,137.4230,給水
71k,カクレハ(第13エイド),38.7,--:--,--:--,12:00,940,36.1322,137.4285,給水・バナナ・梅干し
71k,秋神(第14給水),42.0,--:--,--:--,12:35,800,36.1420,137.4190,給水
71k,岩滝公民館(第2関門/第15エイド),45.5,--:--,--:--,12:50,700,36.1385,137.4042,給水・おにぎり・味噌汁
71k,塩屋(第16給水),48.2,--:--,--:--,13:20,680,36.1450,137.3890,給水
71k,三日町(第17エイド),51.3,--:--,--:--,13:45,640,36.1555,137.3710,給水・パン・オレンジ
71k,町方(第18給水),54.5,--:--,--:--,14:05,610,36.1680,137.3610,給水
71k,丹生川支所(第3関門/第19エイド),57.2,--:--,--:--,14:15,595,36.1706,137.3488,給水・そば・そうめん
71k,飛騨高山ビッグアリーナ(GOAL),71.0,--:--,--:--,16:20,570,36.1554,137.2403,ゴール
